Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
700.576,108.103,592.473,296788,0,FKBPTagPOI,21-Registered,postRapalog_EmptyV_BIF1/
369.014,108.103,260.911,354161,1,FKBPTagPOI,21-Registered,postRapalog_EmptyV_BIF1/
1732.695,122.962,1609.733,296788,0,ATG9Cargo,21-Registered,postRapalog_EmptyV_BIF1/
1169.174,122.962,1046.212,354161,1,ATG9Cargo,21-Registered,postRapalog_EmptyV_BIF1/
660.481,108.687,551.794,261546,0,FKBPTagPOI,22-Registered,postRapalog_EmptyV_BIF1/
309.656,108.687,200.969,225311,1,FKBPTagPOI,22-Registered,postRapalog_EmptyV_BIF1/
716.180,114.797,601.383,261546,0,ATG9Cargo,22-Registered,postRapalog_EmptyV_BIF1/
563.689,114.797,448.892,225311,1,ATG9Cargo,22-Registered,postRapalog_EmptyV_BIF1/
807.884,105.491,702.393,201216,0,FKBPTagPOI,23-Registered,postRapalog_EmptyV_BIF1/
348.441,105.491,242.950,244858,1,FKBPTagPOI,23-Registered,postRapalog_EmptyV_BIF1/
942.257,107.371,834.886,201216,0,ATG9Cargo,23-Registered,postRapalog_EmptyV_BIF1/
732.361,107.371,624.990,244858,1,ATG9Cargo,23-Registered,postRapalog_EmptyV_BIF1/
767.334,105.087,662.248,48740,0,FKBPTagPOI,24-Registered,postRapalog_EmptyV_BIF1/
224.895,105.087,119.808,47254,1,FKBPTagPOI,24-Registered,postRapalog_EmptyV_BIF1/
883.736,106.990,776.746,48740,0,ATG9Cargo,24-Registered,postRapalog_EmptyV_BIF1/
739.847,106.990,632.856,47254,1,ATG9Cargo,24-Registered,postRapalog_EmptyV_BIF1/
1526.645,112.297,1414.348,129848,0,FKBPTagPOI,01-Registered,postRapalog_TPDmut_BIF1/
670.789,112.297,558.492,243622,1,FKBPTagPOI,01-Registered,postRapalog_TPDmut_BIF1/
695.533,113.825,581.708,129848,0,ATG9Cargo,01-Registered,postRapalog_TPDmut_BIF1/
615.807,113.825,501.982,243622,1,ATG9Cargo,01-Registered,postRapalog_TPDmut_BIF1/
2513.309,111.157,2402.152,204978,0,FKBPTagPOI,02-Registered,postRapalog_TPDmut_BIF1/
1162.589,111.157,1051.432,238158,1,FKBPTagPOI,02-Registered,postRapalog_TPDmut_BIF1/
1048.115,112.572,935.544,204978,0,ATG9Cargo,02-Registered,postRapalog_TPDmut_BIF1/
974.379,112.572,861.807,238158,1,ATG9Cargo,02-Registered,postRapalog_TPDmut_BIF1/
1673.507,111.913,1561.594,183302,0,FKBPTagPOI,03-Registered,postRapalog_TPDmut_BIF1/
850.469,111.913,738.556,268824,1,FKBPTagPOI,03-Registered,postRapalog_TPDmut_BIF1/
1526.557,115.636,1410.921,183302,0,ATG9Cargo,03-Registered,postRapalog_TPDmut_BIF1/
951.981,115.636,836.345,268824,1,ATG9Cargo,03-Registered,postRapalog_TPDmut_BIF1/
4350.126,121.951,4228.175,160076,0,FKBPTagPOI,04-Registered,postRapalog_TPDmut_BIF1/
2510.978,121.951,2389.027,241962,1,FKBPTagPOI,04-Registered,postRapalog_TPDmut_BIF1/
3073.503,117.349,2956.154,160076,0,ATG9Cargo,04-Registered,postRapalog_TPDmut_BIF1/
1982.122,117.349,1864.773,241962,1,ATG9Cargo,04-Registered,postRapalog_TPDmut_BIF1/
3878.353,115.411,3762.941,170680,0,FKBPTagPOI,05-Registered,postRapalog_TPDmut_BIF1/
1876.470,115.411,1761.059,240193,1,FKBPTagPOI,05-Registered,postRapalog_TPDmut_BIF1/
