 ,Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
169,324.88,104.66,220.22,244041,0,FKBPTagPOI,19-Registered,postRapalog_EmptyV_DAGLB/
170,143.12,104.66,38.46,439929,1,FKBPTagPOI,19-Registered,postRapalog_EmptyV_DAGLB/
171,396.02,106.76,289.26,244041,0,ATG9Cargo,19-Registered,postRapalog_EmptyV_DAGLB/
172,251.42,106.76,144.66,439929,1,ATG9Cargo,19-Registered,postRapalog_EmptyV_DAGLB/
173,255.89,105.17,150.72,275182,0,FKBPTagPOI,20-Registered,postRapalog_EmptyV_DAGLB/
174,139.02,105.17,33.85,355285,1,FKBPTagPOI,20-Registered,postRapalog_EmptyV_DAGLB/
175,726.49,107.96,618.52,275182,0,ATG9Cargo,20-Registered,postRapalog_EmptyV_DAGLB/
176,532.46,107.96,424.50,355285,1,ATG9Cargo,20-Registered,postRapalog_EmptyV_DAGLB/
177,1149.77,189.17,960.61,147480,0,FKBPTagPOI,01-Registered,postRapalog_TPDmut_DAGLB/
178,499.85,189.17,310.69,207826,1,FKBPTagPOI,01-Registered,postRapalog_TPDmut_DAGLB/
179,263.56,108.14,155.42,147480,0,ATG9Cargo,01-Registered,postRapalog_TPDmut_DAGLB/
180,218.54,108.14,110.40,207826,1,ATG9Cargo,01-Registered,postRapalog_TPDmut_DAGLB/
181,471.88,155.52,316.36,201705,0,FKBPTagPOI,02-Registered,postRapalog_TPDmut_DAGLB/
182,268.53,155.52,113.02,250187,1,FKBPTagPOI,02-Registered,postRapalog_TPDmut_DAGLB/
183,207.62,113.16,94.46,201705,0,ATG9Cargo,02-Registered,postRapalog_TPDmut_DAGLB/
184,181.79,113.16,68.63,250187,1,ATG9Cargo,02-Registered,postRapalog_TPDmut_DAGLB/
185,706.54,185.16,521.38,356213,0,FKBPTagPOI,03-Registered,postRapalog_TPDmut_DAGLB/
186,367.85,185.16,182.69,334107,1,FKBPTagPOI,03-Registered,postRapalog_TPDmut_DAGLB/
187,325.10,109.48,215.62,356213,0,ATG9Cargo,03-Registered,postRapalog_TPDmut_DAGLB/
188,230.76,109.48,121.28,334107,1,ATG9Cargo,03-Registered,postRapalog_TPDmut_DAGLB/
189,751.98,194.43,557.55,248599,0,FKBPTagPOI,04-Registered,postRapalog_TPDmut_DAGLB/
190,311.70,194.43,117.27,241269,1,FKBPTagPOI,04-Registered,postRapalog_TPDmut_DAGLB/
