Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
2021.717,107.143,1914.574,154391,0,FKBPTagPOI,03-Registered,postRapalog_TPDwt_PI4K3b/
402.537,107.143,295.394,239661,1,FKBPTagPOI,03-Registered,postRapalog_TPDwt_PI4K3b/
323.966,107.986,215.980,154391,0,ATG9Cargo,03-Registered,postRapalog_TPDwt_PI4K3b/
253.694,107.986,145.708,239661,1,ATG9Cargo,03-Registered,postRapalog_TPDwt_PI4K3b/
1174.399,110.999,1063.401,290446,0,FKBPTagPOI,04-Registered,postRapalog_TPDwt_PI4K3b/
308.462,110.999,197.463,383638,1,FKBPTagPOI,04-Registered,postRapalog_TPDwt_PI4K3b/
219.192,109.240,109.951,290446,0,ATG9Cargo,04-Registered,postRapalog_TPDwt_PI4K3b/
171.207,109.240,61.966,383638,1,ATG9Cargo,04-Registered,postRapalog_TPDwt_PI4K3b/
993.475,106.263,887.212,211157,0,FKBPTagPOI,05-Registered,postRapalog_TPDwt_PI4K3b/
193.723,106.263,87.460,362450,1,FKBPTagPOI,05-Registered,postRapalog_TPDwt_PI4K3b/
194.381,107.741,86.640,211157,0,ATG9Cargo,05-Registered,postRapalog_TPDwt_PI4K3b/
