"Gene.names","ATG","uid"
"TUBB2A",39719154.946944,"150"
"TUBB2B",39719154.946944,"150"
"TUBB2C",3013006024.18612,"1"
"TUBB3",6839116.47281429,"194"
"TUBB4",3013006024.18612,"1"
"TUBB4A",3013006024.18612,"1"
"TUBB4B",3013006024.18612,"1"
"TUFM",35481338.9233575,"430"
"TXNDC",4954501.9080479,"295"
"TXNDC5",44258837.2362626,"98"
"UBA1",73113908.3483417,"52"
"UBA2",3499451.67028357,"284"
"UBAP1L",557185748.93193,"132"
"UBAP2L",63973483.5482648,"63"
"UBIAD1",27989813.1963436,"125"
"UBR4",3033891.18419427,"267"
"UCHL1",36224299.8416699,"85"
"UCHL5",27352687.2630671,"141"
"UTP20",3639150.36127207,"203"
"VAC14",543250331.492432,"68"
"VAMP2",314050869.387622,"118"
"VAMP3",314050869.387622,"118"
"VAMP4",8550667.12884684,"443"
"VAMP7",152054752.97325,"142"
"VAT1",131522483.219224,"54"
"VCL",21577444.0915266,"344"
"VPS26A",24266100.9508241,"286"
"VPS26B",22803420.7200042,"254"
"VPS29",42756288.6151586,"293"
"VPS35",272897778.280804,"107"
"VPS45",307609681.47407,"438"
"VTI1A",99540541.7351528,"384"
"WDFY1",281838293.126445,"401"
"WDR11",729457510.254568,"29"
"WDR33",3206269.32450547,"237"
"WDR61",36057864.3021643,"86"
"WDR77",24945947.2694296,"147"
"XLKD1",31768740.7064977,"257"
"XPO1",17458221.529205,"428"
"XTP3TPATP1",897428794.500747,"6"
"YIPF3",167494287.602644,"441"
"YIPF4",159220872.705117,"415"
"YIPF6",154881661.891248,"300"
"YTHDF2",55718574.893193,"78"
"YTHDF3",55718574.893193,"78"
"YWHAG",13365955.1654644,"405"
"YWHAH",8933054.83733295,"476"
"YWHAQ",18492686.1897808,"140"
"YWHAZ",135831344.658715,"32"
"ZDHHC13",13061708.8813184,"404"
"ZDHHC17",13061708.8813184,"404"
"ZFPL1",18238957.0231964,"446"
"ZFR",3365115.69375491,"191"
"ZMPSTE24",61235039.1724773,"346"
"ZNF598",9908319.44892769,"180"
