"Gene.names","logFC_ES_vs_FM_ATG9A.Immunoisolation_intensity_filtered","Ratio_H_L_count_ES_vs_FM_ATG9A.Immunoisolation_intensity_filtered","Intensity_ES_vs_FM_ATG9A.Immunoisolation_intensity_filtered","Intensity_Mix_CTRL.IgM.Immunoisolation","PEP","LFQ","FC10","uid"
"HSP90AB2P",-0.215,1,6.749,0,0,5610479.7603247,1,"301"
"HSP90AB4P",-0.156,1,7.358,0,0,22803420.7200042,1,"290"
"HSPA5",-0.126,32,8.862,8.092,0,727779804.536824,0.77,"10"
"HSPA8",-0.025,49,9.157,8.48,0,1435489433.35366,0.677,"3"
"HTATSF1",0.529,15,8.209,7.608,0,161808003.764306,0.601,"28"
"IER3",0.068,1,6.912,0,0.00151,8165823.71358592,1,"261"
"IGF2R",-0.843,91,8.872,6.544,0,744731973.905989,2.328,"155"
"IGJ",-2.43,1,7.955,0,0.00047,90157113.7605957,1,"499"
"IMPAD1",-0.505,1,7.39,0,0,24547089.1568503,1,"362"
"IPO5",-0.605,1,6.589,0,0,3881503.65990649,1,"390"
"ITGB1",-0.423,4,7.476,6.666,0,29922646.3660819,0.81,"139"
"KCT2",-0.371,5,7.957,0,0,90573260.08982,1,"337"
"KDELR1",-1.073,1,7.985,0,0,96605087.8989814,1,"469"
"KDELR2",-1.073,1,7.985,0,0,96605087.8989814,1,"469"
"KDELR3",-0.684,3,7.292,0,0,19588446.7350599,1,"403"
"KIAA0319L",-1.319,8,7.684,0,0,48305880.2039773,1,"486"
"KIAA0324",0.352,17,8.201,6.607,0,158854674.859778,1.594,"145"
"KIAA1012",0.146,29,8.747,0,0,558470194.736831,1,"243"
"KIAA1467",-0.63,1,6.55,0,0.00013,3548133.89233575,1,"395"
"KIAA2013",-0.853,3,7.743,0,0,55335010.9215737,1,"432"
"KIF11",-0.702,1,6.612,0,0,4092606.59730011,1,"408"
"KIF2A",-0.315,9,7.725,6.496,0,53088444.4230988,1.229,"162"
"KRAS",-0.185,3,7.488,0,0,30760968.1474071,1,"296"
"KRR1",0.313,4,7.717,6.831,0,52119471.110508,0.885999999999999,"105"
"KRT18",-0.29,1,7.304,0,0,20137242.4986239,1,"319"
"LAMP2",-0.516,2,6.929,6.321,1e-05,8491804.75036314,0.608,"175"
"LAMR1P15",0.38,5,8.034,7.333,0,108143395.129794,0.701,"44"
"LARP7",0.255,2,6.871,0,0,7430191.37896702,1,"227"
"LASP1",0.128,13,8.377,7.624,0,238231946.935869,0.753000000000001,"26"
"lat1",-0.792,1,6.682,0,0.00231,4808393.48449729,1,"422"
"LBR",-0.904,2,7.44,6.784,0,27542287.0333817,0.656000000000001,"113"
"LCP1",-0.324,6,7.842,0,0,69502431.7588796,1,"327"
